"","epNSCs","qNSCs","lpNSCs","gene"
"t-Grip128","H1","H1","H1","t-Grip128"
"ATPsynCF6L","Low_signal","Enhancers","Low_signal","ATPsynCF6L"
"lncRNA:CR34047","H1","H1","H1","lncRNA:CR34047"
"CG15212","H1","Enhancers","H1","CG15212"
"CG15213","Low_signal","Enhancers","Low_signal","CG15213"
"CG4603","Open_promoters","Open_promoters","Open_promoters","CG4603"
"asRNA:CR45160","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45160"
"CG10674","Open_promoters","Open_promoters","Open_promoters","CG10674"
"CG4611","Gene_body_2","Gene_body_2","Open_promoters","CG4611"
"Tcs5","Open_promoters","Open_promoters","Open_promoters","Tcs5"
"CHMP2B","Open_promoters","Open_promoters","Open_promoters","CHMP2B"
"Dhrs4","Open_promoters","Open_promoters","Open_promoters","Dhrs4"
"Gdap1","Low_signal","Gene_body_2","Gene_body_2","Gdap1"
"Fitm","Open_promoters","Gene_body_1","Open_promoters","Fitm"
"AlaRS-m","Gene_body_2","Gene_body_1","Gene_body_1","AlaRS-m"
"Gen","Gene_body_1","Gene_body_1","Gene_body_1","Gen"
"Srp54k","Open_promoters","Open_promoters","Open_promoters","Srp54k"
"CG4669","H1","HP1","H1","CG4669"
"lncRNA:CR45741","H1","Low_signal","Low_signal","lncRNA:CR45741"
"CG46456","H1","Enhancers","Low_signal","CG46456"
"lama","H1","Enhancers","Low_signal","lama"
"Klp64D","Open_promoters","Gene_body_2","Gene_body_2","Klp64D"
"Cyt-c1","Gene_body_2","Gene_body_2","Gene_body_2","Cyt-c1"
"Uev1A","Gene_body_2","Gene_body_2","Gene_body_2","Uev1A"
"Membrin","Open_promoters","Low_signal","Open_promoters","Membrin"
"Pfdn4","Open_promoters","Open_promoters","Open_promoters","Pfdn4"
"Ir64a","H1","Pc","H1","Ir64a"
"DIP-delta","H1","Pc","Low_signal","DIP-delta"
"CG4835","HP1","HP1","HP1","CG4835"
"lncRNA:CR44520","H1","Low_signal","Low_signal","lncRNA:CR44520"
"blanks","Low_signal","Low_signal","H1","blanks"
"lncRNA:CR44518","H1","Enhancers","Enhancers","lncRNA:CR44518"
"CG34342","H1","H1","H1","CG34342"
"Lkr","H1","Low_signal","Enhancers","Lkr"
"CG13285","H1","Low_signal","Low_signal","CG13285"
"frm","H1","H1","H1","frm"
"sinu","Gene_body_2","Open_promoters","Open_promoters","sinu"
"ScsbetaG","Open_promoters","Gene_body_2","Low_signal","ScsbetaG"
"Sras","Open_promoters","Open_promoters","Open_promoters","Sras"
"bc10","Open_promoters","Open_promoters","Open_promoters","bc10"
"Msr-110","H1","H1","H1","Msr-110"
"sncRNA:357","H1","H1","H1","sncRNA:357"
"l(3)psg2","Gene_body_2","Gene_body_2","Gene_body_1","l(3)psg2"
"spo","Gene_body_1","H1","Gene_body_1","spo"
"Alp10","H1","H1","H1","Alp10"
"Alp9","Low_signal","H1","H1","Alp9"
"CG10591","Enhancers","H1","H1","CG10591"
"TM9SF3","Gene_body_2","Gene_body_2","Gene_body_1","TM9SF3"
"mthl2","Gene_body_1","H1","Gene_body_1","mthl2"
"Eaf6","Open_promoters","Open_promoters","Open_promoters","Eaf6"
"Blimp-1","Pc","Pc","H1","Blimp-1"
"lin-28","Pc","Enhancers","Enhancers","lin-28"
"sif","H1","Enhancers","Enhancers","sif"
"Sse","Gene_body_1","Open_promoters","Gene_body_1","Sse"
"CG46320","H1","Enhancers","Enhancers","CG46320"
"CG44521","Enhancers","Enhancers","Enhancers","CG44521"
"snoRNA:Me18S-A1494","H1","Low_signal","Enhancers","snoRNA:Me18S-A1494"
"DnaJ-1","Open_promoters","Open_promoters","Open_promoters","DnaJ-1"
"Usp47","Gene_body_1","Gene_body_2","Gene_body_2","Usp47"
"CG10576","Gene_body_1","Gene_body_2","Gene_body_2","CG10576"
"snoRNA:Psi18S-1397","Gene_body_1","Low_signal","Gene_body_2","snoRNA:Psi18S-1397"
"snoRNA:684","Gene_body_1","Gene_body_1","Gene_body_2","snoRNA:684"
"snoRNA:Psi28S-1837c","Gene_body_1","Gene_body_2","Gene_body_2","snoRNA:Psi28S-1837c"
"snoRNA:Psi28S-1837b","Gene_body_1","Gene_body_2","Gene_body_2","snoRNA:Psi28S-1837b"
"snoRNA:Psi28S-1837a","Gene_body_2","Gene_body_2","Open_promoters","snoRNA:Psi28S-1837a"
"sncRNA:CR43603","Open_promoters","Open_promoters","Open_promoters","sncRNA:CR43603"
"Txl","Open_promoters","Open_promoters","Open_promoters","Txl"
"Ppat-Dpck","Open_promoters","Open_promoters","Open_promoters","Ppat-Dpck"
"asRNA:CR45831","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45831"
"scny","Gene_body_2","Open_promoters","Gene_body_1","scny"
"vito","Open_promoters","Open_promoters","Open_promoters","vito"
"Myt1","Open_promoters","Gene_body_2","Open_promoters","Myt1"
"PGRP-LD","Gene_body_2","Gene_body_2","Gene_body_2","PGRP-LD"
"Pmi","Gene_body_2","Gene_body_2","Gene_body_2","Pmi"
"asRNA:CR45026","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45026"
"Cralbp","Low_signal","Enhancers","HP1","Cralbp"
"Bre1","Gene_body_1","Gene_body_1","Gene_body_1","Bre1"
"Tektin-C","Low_signal","Enhancers","Gene_body_1","Tektin-C"
"S6k","Gene_body_1","Gene_body_2","Gene_body_1","S6k"
"CG42272","Gene_body_1","Gene_body_2","Gene_body_1","CG42272"
"kri","Open_promoters","Open_promoters","Open_promoters","kri"
"mad2","Low_signal","Low_signal","Open_promoters","mad2"
"vn","H1","H1","H1","vn"
"CG5568","Pc","Pc","Pc","CG5568"
"CG18586","Low_signal","Pc","Low_signal","CG18586"
"CG13287","Open_promoters","Pc","Pc","CG13287"
"PolE2","Open_promoters","Open_promoters","Open_promoters","PolE2"
"CG32409","Gene_body_1","Gene_body_2","Gene_body_1","CG32409"
"QC","Gene_body_1","Gene_body_2","Gene_body_1","QC"
"CG10486","H1","H1","H1","CG10486"
"CG10483","H1","H1","H1","CG10483"
"asRNA:CR45167","H1","H1","Gene_body_1","asRNA:CR45167"
"CG32407","Open_promoters","HP1","H1","CG32407"
"CG33523","Open_promoters","Open_promoters","Open_promoters","CG33523"
"Rcc1","Low_signal","Low_signal","Open_promoters","Rcc1"
"Egfrap","H1","Low_signal","Low_signal","Egfrap"
"CG10479","Enhancers","Pc","Low_signal","CG10479"
"lncRNA:CR45439","Low_signal","Pc","Pc","lncRNA:CR45439"
"PVRAP","Enhancers","Enhancers","Enhancers","PVRAP"
"alphaKap4","Enhancers","Enhancers","Enhancers","alphaKap4"
"CG10477","H1","Low_signal","Enhancers","CG10477"
"CG6462","Low_signal","Low_signal","H1","CG6462"
"Jon65Aiv","H1","Low_signal","H1","Jon65Aiv"
"Jon65Aiii","H1","H1","H1","Jon65Aiii"
"Jon65Aii","H1","H1","H1","Jon65Aii"
"Jon65Ai","Low_signal","H1","Enhancers","Jon65Ai"
"tant","Open_promoters","Open_promoters","Open_promoters","tant"
"CG6592","H1","H1","Gene_body_1","CG6592"
"CG10472","Low_signal","Low_signal","H1","CG10472"
"CG42269","H1","H1","H1","CG42269"
"CG6602","Gene_body_2","Low_signal","Low_signal","CG6602"
"CG13295","Gene_body_2","Open_promoters","Open_promoters","CG13295"
"CG6610","Open_promoters","Open_promoters","Enhancers","CG6610"
"ssp6","Gene_body_2","Gene_body_2","Low_signal","ssp6"
"CG13293","Gene_body_2","Gene_body_1","Gene_body_1","CG13293"
"CG10469","Gene_body_2","Gene_body_2","Gene_body_2","CG10469"
"CG10467","Gene_body_2","Gene_body_2","Open_promoters","CG10467"
"loj","Pc","Open_promoters","Open_promoters","loj"
"Ets65A","Pc","Pc","Pc","Ets65A"
"lncRNA:CR46001","Pc","Pc","Pc","lncRNA:CR46001"
"l(3)mbn","H1","HP1","Low_signal","l(3)mbn"
"asRNA:CR46005","H1","Enhancers","Low_signal","asRNA:CR46005"
"Lcp65Ag3","H1","Enhancers","Low_signal","Lcp65Ag3"
"Cpr65Au","H1","Enhancers","Low_signal","Cpr65Au"
"Lcp65Ag2","H1","H1","Low_signal","Lcp65Ag2"
"Lcp65Ag1","H1","H1","Enhancers","Lcp65Ag1"
"Lcp65Af","H1","H1","H1","Lcp65Af"
"Lcp65Ae","H1","H1","H1","Lcp65Ae"
"Cpr65Av","H1","H1","H1","Cpr65Av"
"Cpr65Aw","H1","H1","Low_signal","Cpr65Aw"
"Lcp65Ac","H1","H1","H1","Lcp65Ac"
"Lcp65APsi","Low_signal","H1","Low_signal","Lcp65APsi"
"Lcp65Aa","Low_signal","H1","H1","Lcp65Aa"
"Acp65Aa","Low_signal","Low_signal","H1","Acp65Aa"
"lncRNA:CR45421","H1","Enhancers","Low_signal","lncRNA:CR45421"
"CG13297","H1","H1","Low_signal","CG13297"
"Cpr65Ay","H1","Pc","Pc","Cpr65Ay"
"Cpr65Az","Enhancers","Low_signal","Enhancers","Cpr65Az"
"lncRNA:CR45744","Enhancers","Low_signal","Low_signal","lncRNA:CR45744"
"Prdm13","Open_promoters","H1","Low_signal","Prdm13"
"fmt","Gene_body_2","Gene_body_2","Gene_body_2","fmt"
"CG7376","Gene_body_1","Gene_body_1","Gene_body_1","CG7376"
"CG10274","Gene_body_2","Gene_body_2","Gene_body_1","CG10274"
"D19B","Gene_body_2","Open_promoters","Open_promoters","D19B"
"CG43293","Gene_body_2","Open_promoters","Open_promoters","CG43293"
"D19A","Open_promoters","Open_promoters","Open_promoters","D19A"
"CG7386","Gene_body_1","Low_signal","Gene_body_2","CG7386"
"Sf3b6","Open_promoters","Open_promoters","Open_promoters","Sf3b6"
"Tnpo","Gene_body_2","Gene_body_2","Gene_body_2","Tnpo"
"CG8219","Gene_body_1","Gene_body_1","Gene_body_1","CG8219"
"LanA","Gene_body_2","Gene_body_1","H1","LanA"
"CG33946","H1","H1","H1","CG33946"
"CG13299","H1","H1","H1","CG13299"
"BG642312","H1","H1","H1","BG642312"
"CG10226","H1","H1","H1","CG10226"
"Mdr65","H1","H1","H1","Mdr65"
"Best2","H1","H1","Low_signal","Best2"
"CG10163","Low_signal","HP1","Gene_body_1","CG10163"
"Ldh","H1","Open_promoters","Open_promoters","Ldh"
"lncRNA:CR44522","Low_signal","Enhancers","Enhancers","lncRNA:CR44522"
"Or65a","H1","H1","Enhancers","Or65a"
"Or65b","H1","H1","H1","Or65b"
"Or65c","H1","H1","Enhancers","Or65c"
"CG13300","H1","Enhancers","Low_signal","CG13300"
"Sfp65A","H1","Open_promoters","Open_promoters","Sfp65A"
"lncRNA:CR45419","H1","H1","H1","lncRNA:CR45419"
"lncRNA:CR45980","H1","H1","Low_signal","lncRNA:CR45980"
"CG10147","Open_promoters","Open_promoters","Open_promoters","CG10147"
"Bulli","Gene_body_2","Gene_body_2","Gene_body_2","Bulli"
"Vps8","Gene_body_2","Gene_body_2","Gene_body_2","Vps8"
"sfl","H1","Enhancers","Low_signal","sfl"
"lncRNA:CR45979","Enhancers","Enhancers","Enhancers","lncRNA:CR45979"
"betaTub65B","H1","H1","H1","betaTub65B"
"MCU","H1","Enhancers","Low_signal","MCU"
"jv","H1","Low_signal","Low_signal","jv"
"ndl","H1","H1","H1","ndl"
"Rexo5","Open_promoters","Open_promoters","Gene_body_1","Rexo5"
"zpg","Low_signal","Open_promoters","H1","zpg"
"lncRNA:CR45418","H1","Low_signal","H1","lncRNA:CR45418"
"axed","Low_signal","Open_promoters","H1","axed"
"GluRIA","Low_signal","Open_promoters","Low_signal","GluRIA"
"lncRNA:CR45238","H1","Low_signal","Low_signal","lncRNA:CR45238"
"lncRNA:CR45239","H1","Low_signal","Low_signal","lncRNA:CR45239"
"lncRNA:CR45173","H1","Low_signal","Low_signal","lncRNA:CR45173"
"CG32395","H1","Enhancers","H1","CG32395"
"SP1173","Enhancers","Enhancers","Gene_body_1","SP1173"
"CG8519","Enhancers","HP1","Low_signal","CG8519"
"ple","H1","H1","H1","ple"
"lncRNA:CR45417","Low_signal","Gene_body_2","Low_signal","lncRNA:CR45417"
"dikar","Gene_body_2","Gene_body_2","Gene_body_1","dikar"
"velo","Gene_body_2","Gene_body_2","Gene_body_2","velo"
"Sbds","Open_promoters","Open_promoters","Open_promoters","Sbds"
"Ist1","Gene_body_1","Gene_body_1","Gene_body_2","Ist1"
"Rsph3","H1","Low_signal","Low_signal","Rsph3"
"lncRNA:CR45759","Pc","Pc","Pc","lncRNA:CR45759"
"vvl","Pc","Pc","Pc","vvl"
"lncRNA:CR45115","Enhancers","Pc","Pc","lncRNA:CR45115"
"Prat2","H1","Pc","Pc","Prat2"
"CG45413","Low_signal","Pc","Low_signal","CG45413"
"CG14820","Low_signal","Pc","Pc","CG14820"
"lncRNA:CR45415","Pc","Pc","Pc","lncRNA:CR45415"
"lncRNA:CR45414","Low_signal","Pc","Pc","lncRNA:CR45414"
"tow","H1","Gene_body_2","Low_signal","tow"
"CG10077","Gene_body_2","Gene_body_2","Gene_body_2","CG10077"
"CG9948","Open_promoters","Open_promoters","Open_promoters","CG9948"
"CG10075","Open_promoters","Open_promoters","Open_promoters","CG10075"
"Surf1","Low_signal","Gene_body_2","Open_promoters","Surf1"
"sgl","Gene_body_2","Gene_body_2","Gene_body_2","sgl"
"CG10064","Gene_body_2","HP1","Gene_body_2","CG10064"
"Mis12","Gene_body_2","Low_signal","Low_signal","Mis12"
"CG9953","Gene_body_2","Gene_body_1","Gene_body_1","CG9953"
"CG10063","Gene_body_2","Gene_body_1","Low_signal","CG10063"
"Galphai","Gene_body_2","Gene_body_2","Low_signal","Galphai"
"CG32388","Low_signal","Low_signal","Pc","CG32388"
"CG43439","Low_signal","Low_signal","Pc","CG43439"
"bin","Pc","Pc","Pc","bin"
"Mp","H1","Low_signal","Low_signal","Mp"
"CG17744","Low_signal","Enhancers","Low_signal","CG17744"
"CG8641","Low_signal","Enhancers","H1","CG8641"
"CG14823","H1","H1","H1","CG14823"
"CG32391","H1","H1","H1","CG32391"
"CG34030","Low_signal","HP1","H1","CG34030"
"Cpr65Ea","H1","H1","Enhancers","Cpr65Ea"
"Cpr65Eb","Low_signal","Enhancers","Enhancers","Cpr65Eb"
"form3","H1","H1","H1","form3"
"msl-3","Open_promoters","Gene_body_2","Gene_body_2","msl-3"
"BBS1","Gene_body_1","H1","H1","BBS1"
"Acbp4","Gene_body_1","H1","H1","Acbp4"
"Acbp6","H1","H1","H1","Acbp6"
"Acbp3","H1","Low_signal","H1","Acbp3"
"Acbp2","H1","H1","H1","Acbp2"
"melt","Gene_body_1","Gene_body_1","Gene_body_1","melt"
"corn","Gene_body_1","Enhancers","Enhancers","corn"
"CG8620","H1","Enhancers","H1","CG8620"
"Dscam2","H1","H1","H1","Dscam2"
"lncRNA:CR45410","H1","Low_signal","Low_signal","lncRNA:CR45410"
"CG14826","H1","H1","H1","CG14826"
"BHD","Open_promoters","Gene_body_2","Open_promoters","BHD"
"RpL18","Open_promoters","Open_promoters","Open_promoters","RpL18"
"Neos","Open_promoters","Open_promoters","Open_promoters","Neos"
"mRpL50","Open_promoters","Enhancers","Low_signal","mRpL50"
"mei-P22","Enhancers","Low_signal","Low_signal","mei-P22"
"Cdc27","Gene_body_2","Gene_body_2","Gene_body_1","Cdc27"
"MED4","Open_promoters","Open_promoters","Open_promoters","MED4"
"asRNA:CR43470","Gene_body_1","Gene_body_1","Open_promoters","asRNA:CR43470"
"CG14830","H1","Low_signal","Low_signal","CG14830"
"unc-13-4A","Low_signal","Enhancers","Low_signal","unc-13-4A"
"CG8607","Gene_body_2","Gene_body_1","Gene_body_1","CG8607"
"RhoGEF4","Open_promoters","HP1","Open_promoters","RhoGEF4"
"mrva","Open_promoters","Open_promoters","Gene_body_1","mrva"
"CG42307","Gene_body_2","Gene_body_2","Gene_body_2","CG42307"
"mus312","Gene_body_2","Gene_body_2","Gene_body_2","mus312"
"wrm1","Open_promoters","Gene_body_2","Open_promoters","wrm1"
"wrm2","Open_promoters","Gene_body_2","Open_promoters","wrm2"
"eco","Gene_body_1","HP1","Open_promoters","eco"
"lark","Open_promoters","Open_promoters","Open_promoters","lark"
"Cln7","Gene_body_2","Gene_body_2","Gene_body_1","Cln7"
"CG14834","Gene_body_2","Gene_body_2","Gene_body_2","CG14834"
"Srp19","Low_signal","Gene_body_2","Low_signal","Srp19"
"CTCF","Gene_body_2","Open_promoters","Open_promoters","CTCF"
"asRNA:CR45822","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45822"
"pst","Low_signal","HP1","Gene_body_2","pst"
"Sec63","Gene_body_2","Gene_body_2","Gene_body_2","Sec63"
"asRNA:CR45835","Gene_body_2","Low_signal","Gene_body_2","asRNA:CR45835"
"Sh3beta","Low_signal","Gene_body_2","Low_signal","Sh3beta"
"akirin","Open_promoters","Gene_body_2","Gene_body_2","akirin"
"SMSr","Gene_body_2","Gene_body_1","Gene_body_2","SMSr"
"smid","Gene_body_1","Gene_body_2","Gene_body_2","smid"
"CG8564","Gene_body_2","Gene_body_1","Gene_body_1","CG8564"
"CG8563","Low_signal","Enhancers","Low_signal","CG8563"
"CG32379","H1","H1","H1","CG32379"
"CG8562","H1","H1","H1","CG8562"
"CG18417","H1","H1","H1","CG18417"
"CG8560","Low_signal","H1","H1","CG8560"
"lncRNA:CR33948","H1","Pc","Pc","lncRNA:CR33948"
"CG42458","H1","Pc","Pc","CG42458"
"Rac2","Open_promoters","Enhancers","Enhancers","Rac2"
"CG14835","H1","H1","Low_signal","CG14835"
"sphinx1","H1","Pc","Gene_body_1","sphinx1"
"sphinx2","H1","Pc","Gene_body_1","sphinx2"
"CG33278","H1","H1","H1","CG33278"
"ppk26","H1","H1","Enhancers","ppk26"
"CG42660","Low_signal","Pc","Low_signal","CG42660"
"CG42661","Low_signal","Pc","Low_signal","CG42661"
"Tsp66A","Low_signal","Pc","Low_signal","Tsp66A"
"CG8543","Enhancers","Pc","H1","CG8543"
"CG8541","H1","Pc","Pc","CG8541"
"CG43292","H1","Low_signal","Low_signal","CG43292"
"mthl6","H1","Pc","H1","mthl6"
"Cyp316a1","Enhancers","Pc","Pc","Cyp316a1"
"Cyp4d8","H1","Pc","H1","Cyp4d8"
"CG8539","H1","Low_signal","H1","CG8539"
"CG7548","Enhancers","Pc","Pc","CG7548"
"asRNA:CR45896","Gene_body_2","Gene_body_2","Gene_body_1","asRNA:CR45896"
"CG7546","Gene_body_1","Gene_body_2","Gene_body_1","CG7546"
"ltl","H1","H1","H1","ltl"
"lqf","Gene_body_2","Gene_body_2","Gene_body_1","lqf"
"CG16998","Gene_body_1","Gene_body_1","Gene_body_1","CG16998"
"CG32374","Low_signal","H1","H1","CG32374"
"CG32376","Low_signal","Low_signal","H1","CG32376"
"CG14837","H1","H1","Low_signal","CG14837"
"frac","H1","H1","H1","frac"
"mmm","H1","H1","H1","mmm"
"t-Grip84","H1","H1","H1","t-Grip84"
"Pura","H1","H1","H1","Pura"
"lncRNA:CR45866","H1","H1","Low_signal","lncRNA:CR45866"
"CG7506","HP1","Open_promoters","Open_promoters","CG7506"
"CG32373","H1","H1","H1","CG32373"
"PGRP-SD","Gene_body_2","Gene_body_2","Low_signal","PGRP-SD"
"CG7492","Gene_body_1","Open_promoters","Open_promoters","CG7492"
"Ank2","H1","H1","H1","Ank2"
"CG44195","H1","H1","H1","CG44195"
"Mcad","Gene_body_2","Gene_body_2","Open_promoters","Mcad"
"CG7457","Gene_body_2","Gene_body_2","Open_promoters","CG7457"
"CG8492","H1","HP1","H1","CG8492"
"Snmp2","H1","Enhancers","Enhancers","Snmp2"
"CG7409","H1","H1","H1","CG7409"
"Hn","H1","H1","H1","Hn"
"Clk","H1","H1","H1","Clk"
"CG32371","H1","H1","H1","CG32371"
"Pdp1","H1","Enhancers","Low_signal","Pdp1"
"eIF4E5","Gene_body_2","Gene_body_2","Gene_body_1","eIF4E5"
"pbl","Gene_body_1","Gene_body_2","Gene_body_1","pbl"
"CG8281","Open_promoters","Gene_body_2","Open_promoters","CG8281"
"CG8111","Gene_body_2","Gene_body_2","Open_promoters","CG8111"
"CG32368","HP1","HP1","HP1","CG32368"
"syd","Gene_body_2","Gene_body_1","Gene_body_1","syd"
"Srp9","Open_promoters","Open_promoters","Open_promoters","Srp9"
"CG43880","Pc","Pc","Pc","CG43880"
"exex","Pc","Pc","Pc","exex"
"RNaseX25","Gene_body_1","Gene_body_2","Gene_body_2","RNaseX25"
"CG8042","Gene_body_2","Gene_body_2","Open_promoters","CG8042"
"HP4","Low_signal","Low_signal","Open_promoters","HP4"
"CG8209","Low_signal","Low_signal","Open_promoters","CG8209"
"Pop4","Low_signal","Gene_body_2","Open_promoters","Pop4"
"tRNA:Ala-AGC-2-1","Enhancers","Enhancers","Enhancers","tRNA:Ala-AGC-2-1"
"bip1","Low_signal","HP1","Gene_body_2","bip1"
"asRNA:CR45867","Enhancers","Low_signal","Enhancers","asRNA:CR45867"
"tRNA:Leu-CAG-1-2","Low_signal","Enhancers","Low_signal","tRNA:Leu-CAG-1-2"
"Sarm","H1","Enhancers","Gene_body_1","Sarm"
"tRNA:Leu-CAG-1-7","H1","Enhancers","H1","tRNA:Leu-CAG-1-7"
"CG42590","H1","Enhancers","H1","CG42590"
"CG42591","H1","Low_signal","Low_signal","CG42591"
"CG7565","Gene_body_2","Gene_body_1","Gene_body_1","CG7565"
"fan","HP1","HP1","HP1","fan"
"Nulp1","Gene_body_1","Gene_body_2","Gene_body_1","Nulp1"
"mir-2501","Gene_body_1","Open_promoters","Gene_body_1","mir-2501"
"Arp3","Gene_body_2","Gene_body_2","Gene_body_2","Arp3"
"msk","Gene_body_2","Gene_body_2","Gene_body_2","msk"
"ldbr","Open_promoters","Gene_body_2","Open_promoters","ldbr"
"CG7550","Open_promoters","Open_promoters","Open_promoters","CG7550"
"mRpL36","Open_promoters","Open_promoters","Open_promoters","mRpL36"
"Uba2","Enhancers","Gene_body_2","Open_promoters","Uba2"
"Cds","Gene_body_2","Gene_body_2","Open_promoters","Cds"
"Setx","Gene_body_1","Gene_body_1","Gene_body_1","Setx"
"mus301","Gene_body_2","Gene_body_2","Gene_body_1","mus301"
"CG13676","H1","H1","H1","CG13676"
"CG42445","H1","Low_signal","H1","CG42445"
"CG13675","H1","H1","Gene_body_1","CG13675"
"RecQ4","Gene_body_1","Gene_body_1","Gene_body_1","RecQ4"
"Nmt","Gene_body_2","Gene_body_2","Open_promoters","Nmt"
"mthl7","Low_signal","H1","Enhancers","mthl7"
"Uxs","Gene_body_2","Gene_body_1","Gene_body_1","Uxs"
"ERR","Gene_body_2","Open_promoters","Gene_body_1","ERR"
"asRNA:CR45869","Gene_body_2","Gene_body_2","Gene_body_1","asRNA:CR45869"
"asRNA:CR45870","Gene_body_1","Gene_body_1","Gene_body_1","asRNA:CR45870"
"Atg18a","Gene_body_1","Gene_body_2","Gene_body_2","Atg18a"
"MED24","Gene_body_1","Gene_body_2","Gene_body_2","MED24"
"CG7387","Open_promoters","Open_promoters","Open_promoters","CG7387"
"UbcE2M","Gene_body_2","Gene_body_2","Gene_body_2","UbcE2M"
"Dhps","Open_promoters","Open_promoters","Open_promoters","Dhps"
"CG7366","H1","H1","H1","CG7366"
"CG13679","Low_signal","H1","H1","CG13679"
"CG8006","H1","HP1","H1","CG8006"
"Dscam4","H1","Enhancers","Enhancers","Dscam4"
"cert","Gene_body_2","Gene_body_2","Gene_body_2","cert"
"CG7201","H1","Low_signal","Low_signal","CG7201"
"Rab19","Open_promoters","Open_promoters","Open_promoters","Rab19"
"Arl5","Gene_body_2","Gene_body_2","Open_promoters","Arl5"
"CG13671","Gene_body_1","Gene_body_1","Gene_body_1","CG13671"
"CG7194","H1","Gene_body_2","Gene_body_2","CG7194"
"Sbp2","Gene_body_2","Gene_body_2","Open_promoters","Sbp2"
"Gr66a","Gene_body_2","Gene_body_1","Gene_body_1","Gr66a"
